Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1652497209,10,,Aggregated,39.800000,0.000000,220,240,260,280,360,460,530,630,730,820,820,2914,0,220.0,253.12959481811947,160.0087000000059,818.6469999999986,435471.0
1652497210,10,,Aggregated,40.600000,0.000000,220,240,260,280,370,470,530,630,730,820,820,2953,0,220.0,253.43536139519136,160.0087000000059,818.6469999999986,435471.0
1652497211,10,,Aggregated,42.600000,0.000000,220,240,260,270,370,470,530,620,720,820,820,3003,0,220.0,252.51122157842158,160.0087000000059,818.6469999999986,435471.0
1652497212,10,,Aggregated,43.700000,0.000000,220,240,260,270,360,460,530,620,720,820,820,3058,0,220.0,251.38143446697174,160.0087000000059,818.6469999999986,435471.0
1652497213,10,,Aggregated,44.100000,0.000000,220,240,260,270,370,460,530,620,720,820,820,3097,0,220.0,251.29775460122679,160.0087000000059,818.6469999999986,435471.0
1652497214,10,,Aggregated,46.000000,0.000000,220,240,260,270,360,460,530,610,720,820,820,3147,0,220.0,250.54861722275157,160.0087000000059,818.6469999999986,435471.0
1652497215,10,,Aggregated,46.500000,0.000000,220,230,260,270,360,460,530,610,720,820,820,3194,0,220.0,249.93981083281128,160.0087000000059,818.6469999999986,435471.0
1652497216,10,,Aggregated,45.600000,0.000000,220,230,260,270,360,460,520,610,720,820,820,3232,0,220.0,250.00037326732652,160.0087000000059,818.6469999999986,435471.0
1652497217,10,,Aggregated,45.900000,0.000000,220,230,260,270,360,460,520,610,720,820,820,3280,0,220.0,249.4338270426828,160.0087000000059,818.6469999999986,435471.0
1652497218,10,,Aggregated,45.800000,0.000000,220,230,250,270,360,460,520,610,720,820,820,3337,0,220.0,248.39852906802503,160.0087000000059,818.6469999999986,435471.0
1652497219,10,,Aggregated,44.600000,0.000000,220,230,250,270,360,460,520,610,720,820,820,3377,0,220.0,248.48452901983993,160.0087000000059,818.6469999999986,435471.0
1652497220,10,,Aggregated,45.400000,0.000000,220,230,250,270,360,460,520,610,720,820,820,3422,0,220.0,247.99570014611322,160.0087000000059,818.6469999999986,435471.0
1652497221,10,,Aggregated,46.200000,0.000000,220,230,250,270,360,460,520,610,720,820,820,3466,0,220.0,247.74144125793416,160.0087000000059,818.6469999999986,435471.0
1652497222,10,,Aggregated,45.400000,0.000000,220,230,250,270,360,460,520,600,720,820,820,3503,0,220.0,248.1213321153296,160.0087000000059,818.6469999999986,435471.0
1652497223,10,,Aggregated,46.000000,0.000000,220,230,250,270,360,460,520,600,720,820,820,3541,0,220.0,248.11605261225625,160.0087000000059,818.6469999999986,435471.0
1652497224,10,,Aggregated,45.400000,0.000000,220,230,250,270,360,460,510,600,720,820,820,3581,0,220.0,248.01949620217798,160.0087000000059,818.6469999999986,435471.0
1652497225,10,,Aggregated,42.900000,0.000000,220,230,260,270,370,460,520,600,720,820,820,3607,0,220.0,249.1156253950649,160.0087000000059,818.6469999999986,435471.0
1652497226,10,,Aggregated,43.000000,0.000000,220,230,250,270,360,460,520,600,720,820,820,3654,0,220.0,248.70698738368895,160.0087000000059,818.6469999999986,435471.0
1652497227,10,,Aggregated,42.500000,0.000000,220,230,250,270,360,460,520,600,720,820,820,3703,0,220.0,248.30188549824456,160.0087000000059,818.6469999999986,435471.0
1652497228,10,,Aggregated,40.100000,0.000000,220,230,250,270,360,460,520,600,720,820,820,3740,0,220.0,248.28903072192495,160.0087000000059,818.6469999999986,435471.0
1652497229,10,,Aggregated,41.300000,0.000000,220,230,250,270,360,450,510,600,720,820,820,3789,0,220.0,247.87936117709134,160.0087000000059,818.6469999999986,435471.0
1652497230,10,,Aggregated,41.000000,0.000000,220,230,250,270,360,450,510,600,720,820,820,3827,0,220.0,247.75195471648792,160.0087000000059,818.6469999999986,435471.0
1652497231,10,,Aggregated,40.200000,0.000000,220,230,250,270,360,460,510,600,720,820,820,3865,0,220.0,248.12962062095713,160.0087000000059,818.6469999999986,435471.0
1652497232,10,,Aggregated,41.100000,0.000000,220,230,250,270,360,460,510,600,720,820,820,3914,0,220.0,247.70115232498702,160.0087000000059,818.6469999999986,435471.0
1652497233,10,,Aggregated,40.300000,0.000000,220,230,250,270,350,450,510,600,720,820,820,3963,0,220.0,247.10498851879865,160.0087000000059,818.6469999999986,435471.0
1652497234,10,,Aggregated,39.800000,0.000000,220,230,250,270,360,460,510,600,720,820,820,3994,0,220.0,247.51008990986452,160.0087000000059,818.6469999999986,435471.0
